issue,date,red1,red2,red3
2014345,2014-12-19(五),05,06,09
2014346,2014-12-20(六),01,03,05
2014347,2014-12-21(日),08,09,09
2014348,2014-12-22(一),02,02,05
2014349,2014-12-23(二),01,07,07
2014350,2014-12-24(三),02,02,03
2014351,2014-12-25(四),00,05,05
2014352,2014-12-26(五),02,07,07
2014353,2014-12-27(六),01,05,05
2014354,2014-12-28(日),01,03,07
2014355,2014-12-29(一),03,07,07
2014356,2014-12-30(二),01,03,07
2014357,2014-12-31(三),00,01,06
2015001,2015-01-01(四),02,04,05
2015002,2015-01-02(五),00,04,07
2015003,2015-01-03(六),00,02,09
2015004,2015-01-04(日),03,07,09
2015005,2015-01-05(一),00,01,03
2015006,2015-01-06(二),00,03,05
2015007,2015-01-07(三),00,05,05
2015008,2015-01-08(四),01,09,09
2015009,2015-01-09(五),00,03,07
2015010,2015-01-10(六),05,09,09
2015011,2015-01-11(日),00,06,06
2015012,2015-01-12(一),00,04,07
2015013,2015-01-13(二),04,06,07
2015014,2015-01-14(三),00,02,04
2015015,2015-01-15(四),00,02,07
2015016,2015-01-16(五),05,06,06
2015017,2015-01-17(六),00,02,07
2015018,2015-01-18(日),00,02,09
2015019,2015-01-19(一),00,09,09
2015020,2015-01-20(二),01,03,07
2015021,2015-01-21(三),00,00,07
2015022,2015-01-22(四),02,08,09
2015023,2015-01-23(五),02,03,05
2015024,2015-01-24(六),05,07,08
2015025,2015-01-25(日),01,02,08
2015026,2015-01-26(一),00,06,08
2015027,2015-01-27(二),02,04,05
2015028,2015-01-28(三),02,03,08
2015029,2015-01-29(四),03,06,07
2015030,2015-01-30(五),02,07,08
2015031,2015-01-31(六),01,01,07
2015032,2015-02-01(日),01,01,07
2015033,2015-02-02(一),00,01,05
2015034,2015-02-03(二),01,07,08
2015035,2015-02-04(三),04,04,07
2015036,2015-02-05(四),02,05,07
2015037,2015-02-06(五),03,03,08
2015038,2015-02-07(六),00,03,04
2015039,2015-02-08(日),00,04,09
2015040,2015-02-09(一),00,06,07
2015041,2015-02-10(二),04,07,09
2015042,2015-02-11(三),01,02,05
2015043,2015-02-12(四),02,02,04
2015044,2015-02-13(五),01,06,08
2015045,2015-02-14(六),05,06,06
2015046,2015-02-15(日),03,06,06
2015047,2015-02-16(一),07,09,09
2015048,2015-02-17(二),02,04,07
